name,cost,position,points,ppd,roi
David Perron,1350000,F,47,28723,0.000034815
Pavel Zacha,1970000,C,70,28143,0.000035533
Jason Dickinson,1170000,C,35,33429,0.000029915
Nick Foligno,1320000,F,37,35676,0.000028030
Gustav Nyquist,2730000,F,75,36400,0.000027473
Nikita Kucherov,5250000,F,144,36458,0.000027429
Charlie Coyle,2220000,C,60,37000,0.000027027
Nathan MacKinnon,5230000,C,140,37357,0.000026769
Darren Raddysh,1260000,D,33,38182,0.000026190
Nick Bjugstad,1720000,C,45,38222,0.000026163
Trevor Moore,2190000,F,57,38421,0.000026027
Erik Gudbranson,1000000,D,26,38462,0.000026000
Jonathan Drouin,2160000,F,56,38571,0.000025926
Nick Schmaltz,2380000,C,61,39016,0.000025630
Sean Monahan,2310000,C,59,39153,0.000025541
Connor McDavid,5220000,C,132,39545,0.000025287
Tyler Myers,1160000,D,29,40000,0.000025000
J.T. Compher,1940000,C,48,40417,0.000024742
Anthony Mantha,1780000,F,44,40455,0.000024719
Drew O'Connor,1340000,F,33,40606,0.000024627
Quinton Byfield,2250000,F,80,28125,0.000035556
Anthony Duclair,1720000,F,42,40952,0.000024419
Lars Eller,1270000,C,31,40968,0.000024409
Vladislav Namestnikov,1520000,F,37,41081,0.000024342
Artemi Panarin,4960000,F,120,41333,0.000024194
Kyle Palmieri,2240000,F,54,41481,0.000024107
Jimmy Vesey,1080000,F,26,41538,0.000024074
Vincent Trocheck,3200000,C,95,33684,0.000029688
Evander Kane,1830000,F,44,41591,0.000024044
David Savard,1000000,D,24,41667,0.000024000
Kevin Shattenkirk,1000000,D,24,41667,0.000024000
Frank Vatrano,2520000,F,60,42000,0.000023810
Trent Frederic,1680000,F,40,42000,0.000023810
James van Riemsdyk,1600000,F,38,42105,0.000023750
Mikael Granlund,2530000,C,60,42167,0.000023715
Philipp Kurashev,2280000,F,54,42222,0.000023684
Danton Heinen,1520000,F,36,42222,0.000023684
Oliver Bjorkstrand,2500000,F,59,42373,0.000023600
Nazem Kadri,3190000,C,75,42533,0.000023511
Steven Stamkos,3450000,C,81,42593,0.000023478
Jordan Staal,1280000,C,30,42667,0.000023438
Michael Carcone,1240000,F,29,42759,0.000023387
Casey Mittelstadt,2440000,C,57,42807,0.000023361
William Karlsson,2570000,C,60,42833,0.000023346
Joe Veleno,1200000,C,28,42857,0.000023333
Jack Drury,1160000,C,40,29000,0.000034483
Sam Reinhart,4040000,F,94,42979,0.000023267
Brady Skjei,2020000,D,47,42979,0.000023267
Chris Kreider,3230000,F,75,43067,0.000023220
Aliaksei Protas,1250000,C,29,43103,0.000023200
Kris Letang,2200000,D,51,43137,0.000023182
Blake Coleman,2330000,F,54,43148,0.000023176
Joel Armia,1080000,F,25,43200,0.000023148
Curtis Lazar,1080000,C,25,43200,0.000023148
Brandon Hagel,3250000,F,75,43333,0.000023077
Mason Appleton,1560000,F,36,43333,0.000023077
Bobby McMann,1040000,F,24,43333,0.000023077
Sam Lafferty,1040000,F,24,43333,0.000023077
Ryan Strome,1780000,C,41,43415,0.000023034
TJ Brodie,1130000,D,26,43462,0.000023009
Cody Ceci,1090000,D,25,43600,0.000022936
Filip Forsberg,4100000,C,94,43617,0.000022927
Nick Suzuki,3360000,C,77,43636,0.000022917
Robert Thomas,3760000,C,86,43721,0.000022872
Morgan Geekie,1710000,C,39,43846,0.000022807
Warren Foegele,1800000,F,41,43902,0.000022778
Brock Boeser,3220000,F,73,44110,0.000022671
J.T. Miller,4550000,C,103,44175,0.000022637
Brayden McNabb,1150000,D,26,44231,0.000022609
Mathew Barzal,3540000,C,80,44250,0.000022599
William Nylander,4340000,F,98,44286,0.000022581
Adam Henrique,2260000,C,51,44314,0.000022566
Auston Matthews,4750000,C,107,44393,0.000022526
Thomas Harley,2090000,D,47,44468,0.000022488
Jake Neighbours,1690000,F,38,44474,0.000022485
Nicholas Paul,2050000,F,46,44565,0.000022439
Sidney Crosby,4190000,C,94,44574,0.000022434
Matt Duchene,2900000,C,65,44615,0.000022414
Jordan Greenway,1250000,F,28,44643,0.000022400
Bo Horvat,3050000,C,68,44853,0.000022295
Stefan Noesen,1660000,F,37,44865,0.000022289
Nicolas Roy,1840000,F,41,44878,0.000022283
Dakota Joshua,1440000,C,32,45000,0.000022222
Nick Leddy,1260000,D,28,45000,0.000022222
Oliver Ekman-Larsson,1440000,D,32,45000,0.000022222
Mike Reilly,1080000,D,24,45000,0.000022222
Adam Lowry,1580000,C,35,45143,0.000022152
Sebastian Aho,4020000,C,89,45169,0.000022139
Michael Eyssimont,1130000,F,25,45200,0.000022124
Phillip Danault,2130000,C,47,45319,0.000022066
Quinn Hughes,4170000,D,92,45326,0.000022062
Adrian Kempe,3400000,F,75,45333,0.000022059
Anthony Cirelli,2040000,C,45,45333,0.000022059
