name,cost,position,points,ppd,roi,actual
Alexis Lafreniere,1150000,F,48,23958.33,0.000041739,LW
Kirill Kaprizov,1150000,F,43,26744.19,0.000037391,LW
Morgan Rielly,1230000,D,41,30000.00,0.000033333,LD
Jonathan Drouin,1110000,F,35,31714.29,0.000031532,LW
Tim Stuetzle,1000000,C,31,32258.06,0.000031000,LW
Kailer Yamamoto,1290000,F,39,33076.92,0.000030233,RW
Ilya Mikheyev,1250000,F,34,36764.71,0.000027200,LW
Trevor Zegras,1000000,C,27,37037.04,0.000027000,C
Andreas Johnsson,1300000,F,34,38235.29,0.000026154,LW
Mikhail Grigorenko,1000000,C,26,38461.54,0.000026000,C/LW
Kaapo Kakko,1330000,F,34,39117.65,0.000025564,RW
Bobby Ryan,1080000,F,27,40000.00,0.000025000,RW
Gabriel Vilardi,1000000,C,25,40000.00,0.000025000,C
Nicolas Roy,1100000,C,27,40740.74,0.000024545,C
Jack Hughes,1350000,C,33,40909.09,0.000024444,C
Colin White,1330000,C,32,41562.50,0.000024060,C
Robert Thomas,1580000,F,38,41578.95,0.000024051,C/RW
Erik Karlsson,1680000,D,40,42000.00,0.000023810,RD
Oskar Lindblom,1220000,F,29,42068.97,0.000023770,LW
Drake Batherson,1100000,C,26,42307.69,0.000023636,RW
Rasmus Dahlin,1770000,D,41,43170.73,0.000023164,LD
Sam Steel,1270000,C,29,43793.10,0.000022835,C
Alex Galchenyuk,1320000,F,30,44000.00,0.000022727,LW
Cam Atkinson,1600000,F,36,44444.44,0.000022500,RW
John Klingberg,1440000,D,32,45000.00,0.000022222,RD
Filip Zadina,1170000,F,26,45000.00,0.000022222,RW
Dominik Kahun,1310000,F,29,45172.41,0.000022137,LW
Tyson Barrie,1870000,D,41,45609.76,0.000021925,RD
Devon Toews,1460000,D,32,45625.00,0.000021918,LD
Mike Matheson,1200000,D,26,46153.85,0.000021667,LD
Jesper Bratt,1480000,F,32,46250.00,0.000021622,LW
Sonny Milano,1250000,F,27,46296.30,0.000021600,LW/RW
Erik Gustafsson,1500000,D,32,46875.00,0.000021333,LD
Josh Morrissey,1370000,D,29,47241.38,0.000021168,LD
Nikita Gusev,2180000,F,46,47391.30,0.000021101,RW
Will Butcher,1090000,D,23,47391.30,0.000021101,LD
Adam Boqvist,1000000,D,21,47619.05,0.000021000,RD
Jason Robertson,1000000,F,21,47619.05,0.000021000,LW
Quinn Hughes,2050000,D,43,47674.42,0.000020976,LD
Dillon Dube,1200000,F,25,48000.00,0.000020833,LW/RW
Ondrej Kase,1350000,F,28,48214.29,0.000020741,RW
Cale Makar,2130000,D,43,49534.88,0.000020188,RD
Josh Bailey,2000000,F,40,50000.00,0.000020000,RW
Jake Gardiner,1100000,D,22,50000.00,0.000020000,LD
Justin Schultz,1000000,D,20,50000.00,0.000020000,RD
Viktor Arvidsson,1710000,F,34,50294.12,0.000019883,RW
TJ Brodie,1060000,D,21,50476.19,0.000019811,LD
Alexander Wennberg,1220000,C,24,50833.33,0.000019672,C
Mitchell Marner,3240000,F,63,51428.57,0.000019444,RW
Cody Glass,1080000,C,21,51428.57,0.000019444,C
Vinnie Hinostroza,1500000,F,29,51724.14,0.000019333,RW
