name,cost,position,points,ppd,roi
Tommy Novak,2340000,C,45,52000,0.000019231
Colton Sissons,1710000,F,35,48857,0.000020468
Kevin Bahl,1000000,D,11,90909,0.000011000
Michael Bunting,2670000,F,55,48545,0.000020599
Adam Fantilli,2230000,C,27,82593,0.000012108
Vincent Trocheck,3200000,C,77,41558,0.000024063
Jonathan Huberdeau,2710000,F,52,52115,0.000019188
Sidney Crosby,4190000,C,94,44574,0.000022434
Arthur Kaliyev,1360000,F,15,90667,0.000011029
Reilly Smith,1980000,F,40,49500,0.000020202
Evan Bouchard,3870000,D,82,47195,0.000021189
Taylor Hall,1930000,F,4,482500,0.000002073
Anthony Beauvillier,1290000,F,17,75882,0.000013178
Alex Laferriere,1260000,F,23,54783,0.000018254
Noah Hanifin,2550000,D,47,54255,0.000018431
Philipp Kurashev,2280000,F,54,42222,0.000023684
Jimmy Vesey,1080000,F,26,41538,0.000024074
Ryan Suter,1000000,D,17,58824,0.000017000
Sam Reinhart,4040000,F,94,42979,0.000023267
Ben Hutton,1000000,D,10,100000,0.000010000
Jake McCabe,1460000,D,28,52143,0.000019178
Kevin Hayes,1670000,F,29,57586,0.000017365
Jesperi Kotkaniemi,1730000,C,27,64074,0.000015607
Nikita Kucherov,5250000,F,144,36458,0.000027429
Vasily Podkolzin,1000000,F,2,500000,0.000002000
Jordan Eberle,2290000,F,44,52045,0.000019214
Brandon Tanev,1050000,F,16,65625,0.000015238
Mathew Barzal,3540000,C,80,44250,0.000022599
Trevor Moore,2190000,F,57,38421,0.000026027
Nicolas Roy,1840000,F,41,44878,0.000022283
Colton Parayko,1470000,D,26,56538,0.000017687
Alexandre Texier,1640000,C,30,54667,0.000018293
Jack Drury,1160000,C,27,42963,0.000023276
Conor Sheary,1160000,F,15,77333,0.000012931
Mikey Anderson,1070000,D,18,59444,0.000016822
Tony DeAngelo,1820000,D,11,165455,0.000006044
Teuvo Teravainen,2530000,F,53,47736,0.000020949
Marcus Foligno,1300000,F,22,59091,0.000016923
Artem Zub,1170000,D,25,46800,0.000021368
Vince Dunn,2690000,D,46,58478,0.000017100
Nick Cousins,1010000,F,15,67333,0.000014851
Mitch Marner,4760000,F,85,56000,0.000017857
Connor Bedard,3690000,C,61,60492,0.000016531
Pavel Mintyukov,1810000,D,28,64643,0.000015470
Henri Jokiharju,1000000,D,20,50000,0.000020000
Evgeny Kuznetsov,2090000,C,24,87083,0.000011483
Jamie Benn,2840000,F,60,47333,0.000021127
Dylan Samberg,1000000,D,18,55556,0.000018000
Jonny Brodzinski,1000000,F,19,52632,0.000019000
Miles Wood,1370000,F,26,52692,0.000018978
Vladimir Tarasenko,2720000,F,55,49455,0.000020221
Phillip Danault,2130000,C,47,45319,0.000022066
Ryan McDonagh,1480000,D,32,46250,0.000021622
Pavel Buchnevich,3240000,F,63,51429,0.000019444
Bobby McMann,1040000,F,24,43333,0.000023077
Eeli Tolvanen,2300000,F,41,56098,0.000017826
Jordan Staal,1280000,C,30,42667,0.000023438
Adam Pelech,1110000,D,16,69375,0.000014414
Parker Wotherspoon,1000000,D,8,125000,0.000008000
Martin Necas,2890000,C,53,54528,0.000018339
Philip Tomasino,1620000,C,20,81000,0.000012346
Dakota Joshua,1440000,C,32,45000,0.000022222
Tyler Seguin,2410000,C,52,46346,0.000021577
Pierre-Luc Dubois,2460000,C,40,61500,0.000016260
Jordan Kyrou,3260000,F,67,48657,0.000020552
David Perron,1350000,F,47,28723,0.000034815
Conor Garland,2310000,F,47,49149,0.000020346
Morgan Frost,2360000,C,41,57561,0.000017373
Rafael Harvey-Pinard ,1000000,F,10,100000,0.000010000
Timo Meier,2910000,F,52,55962,0.000017869
Bobby Brink,1530000,F,23,66522,0.000015033
Stefan Noesen,1660000,F,37,44865,0.000022289
Ross Johnston,1000000,F,4,250000,0.000004000
David Savard,1000000,D,24,41667,0.000024000
Cole Perfetti,2260000,F,38,59474,0.000016814
Jake Walman,1150000,D,21,54762,0.000018261
Nate Schmidt,1000000,D,14,71429,0.000014000
Troy Stecher,1000000,D,7,142857,0.000007000
Danton Heinen,1520000,F,36,42222,0.000023684
Jonas Brodin,1320000,D,27,48889,0.000020455
Tyson Foerster,1790000,F,33,54242,0.000018436
Nick Blankenburg,1000000,D,1,1000000,0.000001000
Dylan Strome,3220000,C,67,48060,0.000020807
Johnathan Kovacevic,1000000,D,13,76923,0.000013000
Jaden Schwartz,1690000,F,30,56333,0.000017751
Logan O'Connor,1330000,F,25,53200,0.000018797
Mason Appleton,1560000,F,36,43333,0.000023077
Kirill Marchenko,2270000,F,42,54048,0.000018502
Corey Perry,1120000,F,22,50909,0.000019643
Nick Seeler,1000000,D,13,76923,0.000013000
Rickard Rakell,2050000,F,37,55405,0.000018049
Ryan Poehling,1390000,F,28,49643,0.000020144
Ty Emberson,1110000,D,10,111000,0.000009009
Cody Glass,1220000,C,13,93846,0.000010656
Mats Zuccarello,3150000,F,63,50000,0.000020000
Logan Couture,1100000,C,1,1100000,0.000000909
Lawson Crouse,2210000,F,42,52619,0.000019005
Matt Rempe,1000000,F,2,500000,0.000002000
Zach Hyman,3950000,F,77,51299,0.000019494
Mike Matheson,2930000,D,62,47258,0.000021160
Aaron Ekblad,2100000,D,18,116667,0.000008571
Travis Konecny,3590000,C,68,52794,0.000018942
Brett Howden,1060000,C,19,55789,0.000017925
Nazem Kadri,3190000,C,75,42533,0.000023511
Darren Raddysh,1260000,D,33,38182,0.000026190
Mark Scheifele,3280000,C,72,45556,0.000021951
Phillip Broberg,1000000,D,2,500000,0.000002000
Adam Lowry,1580000,C,35,45143,0.000022152
Jason Robertson,4130000,F,80,51625,0.000019370
Michael Kesselring,1300000,D,21,61905,0.000016154
Paul Cotter,1270000,F,25,50800,0.000019685
Andreas Athanasiou,1400000,F,9,155556,0.000006429
Jordan Martinook,1480000,F,32,46250,0.000021622
J.T. Miller,4550000,C,103,44175,0.000022637
Erik Brannstrom,1000000,D,20,50000,0.000020000
Samuel Girard,1350000,D,18,75000,0.000013333
Brandon Montour,2420000,D,33,73333,0.000013636
Ryan Nugent-Hopkins,3800000,C,67,56716,0.000017632
Jonathan Drouin,2160000,F,56,38571,0.000025926
Barrett Hayton,1750000,F,10,175000,0.000005714
Noah Juulsen,1000000,D,7,142857,0.000007000
Anthony Cirelli,2040000,C,45,45333,0.000022059
Brad Marchand,3540000,F,67,52836,0.000018927
Radko Gudas,1000000,D,18,55556,0.000018000
Akil Thomas,1000000,F,4,250000,0.000004000
Shea Theodore,3190000,D,42,75952,0.000013166
Evander Kane,1830000,F,44,41591,0.000024044
Adam Larsson,1210000,D,18,67222,0.000014876
Rasmus Andersson,1980000,D,39,50769,0.000019697
Braden Schneider,1050000,D,19,55263,0.000018095
Drew O'Connor,1340000,F,33,40606,0.000024627
Andrew Copp,1700000,F,33,51515,0.000019412
Filip Zadina ,1050000,F,23,45652,0.000021905
Pavel Zacha,1970000,C,59,33390,0.000029949
Josh Manson,1250000,D,25,50000,0.000020000
Charlie McAvoy,3030000,D,47,64468,0.000015512
Curtis Lazar,1080000,C,25,43200,0.000023148
Casey Mittelstadt,2440000,C,57,42807,0.000023361
Joey Anderson,1040000,F,17,61176,0.000016346
Nick Perbix,1140000,D,24,47500,0.000021053
Alex Killorn,2220000,F,36,61667,0.000016216
Brent Burns,2310000,D,43,53721,0.000018615
Damon Severson,1530000,D,28,54643,0.000018301
Luke Hughes,2660000,D,47,56596,0.000017669
Ryan O'Reilly,3140000,C,69,45507,0.000021975
Justin Holl,1000000,D,5,200000,0.000005000
Trevor Zegras,2270000,C,15,151333,0.000006608
Alex Newhook,1820000,C,34,53529,0.000018681
Evgeni Malkin,3290000,C,67,49104,0.000020365
Ross Colton,1960000,F,40,49000,0.000020408
Tye Kartye,1060000,F,20,53000,0.000018868
Martin Pospisil,1400000,F,24,58333,0.000017143
Dylan Guenther,2570000,F,35,73429,0.000013619
Juuso Valimaki,1110000,D,17,65294,0.000015315
Cam Atkinson,1370000,F,28,48929,0.000020438
Cale Makar,4230000,D,90,47000,0.000021277
Ryker Evans,1270000,D,9,141111,0.000007087
Rasmus Ristolainen,1000000,D,4,250000,0.000004000
Declan Chisholm,1090000,D,9,121111,0.000008257
Justin Faulk,2360000,D,30,78667,0.000012712
Rasmus Sandin,1450000,D,23,63043,0.000015862
Joe Veleno,1200000,C,28,42857,0.000023333
Fabian Zetterlund,2170000,F,44,49318,0.000020276
Radek Faksa,1050000,C,19,55263,0.000018095
Andreas Englund,1000000,D,10,100000,0.000010000
Mason Shaw,1000000,C,3,333333,0.000003000
Jakob Chychrun,2150000,D,41,52439,0.000019070
Brady Tkachuk,3610000,F,74,48784,0.000020499
Cutter Gauthier,1000000,F,1,1000000,0.000001000
Eetu Luostarinen,1520000,C,27,56296,0.000017763
Ivan Barbashev,2450000,C,45,54444,0.000018367
Charlie Coyle,2220000,C,60,37000,0.000027027
Jack Roslovic,1910000,C,31,61613,0.000016230
Juraj Slafkovsky,2920000,F,50,58400,0.000017123
Josh Doan,1500000,F,9,166667,0.000006000
Adam Henrique,2260000,C,51,44314,0.000022566
Shane Pinto,1880000,C,27,69630,0.000014362
Adam Fox,3820000,D,73,52329,0.000019110
Michael McCarron,1060000,F,22,48182,0.000020755
Tim Stutzle,4060000,C,70,58000,0.000017241
Josh Brown,1000000,D,10,100000,0.000010000
Spencer Stastney,1000000,D,4,250000,0.000004000
Kaiden Guhle,1390000,D,22,63182,0.000015827
Ian Cole,1000000,D,11,90909,0.000011000
Justin Brazeau,1210000,F,7,172857,0.000005785
Kevin Shattenkirk,1000000,D,24,41667,0.000024000
Mason Lohrei,1110000,D,13,85385,0.000011712
Vladislav Gavrikov,1100000,D,23,47826,0.000020909
Klim Kostin,1110000,F,14,79286,0.000012613
Tyler Myers,1160000,D,29,40000,0.000025000
Brock Boeser,3220000,F,73,44110,0.000022671
Erik Gudbranson,1000000,D,26,38462,0.000026000
Jeremy Lauzon,1000000,D,14,71429,0.000014000
Tom Wilson,1920000,F,35,54857,0.000018229
Jamie Oleksiak,1000000,D,15,66667,0.000015000
Brayden Point,4300000,C,90,47778,0.000020930
Ilya Mikheyev,1580000,F,31,50968,0.000019620
Marco Rossi,2280000,C,40,57000,0.000017544
Tyler Bertuzzi,2320000,F,43,53953,0.000018534
Dmitry Kulikov,1140000,D,20,57000,0.000017544
Derek Forbort,1000000,D,4,250000,0.000004000
Logan Stankoven,1810000,C,14,129286,0.000007735
Connor McDavid,5220000,C,132,39545,0.000025287
Niko Mikkola,1000000,D,17,58824,0.000017000
Sam Steel,1260000,C,24,52500,0.000019048
Scott Mayfield,1000000,D,5,200000,0.000005000
Erik Karlsson,3530000,D,56,63036,0.000015864
Moritz Seider,2680000,D,42,63810,0.000015672
Sam Lafferty,1040000,F,24,43333,0.000023077
Anze Kopitar,3210000,C,70,45857,0.000021807
Luke Evangelista,2070000,F,39,53077,0.000018841
Sean Walker,1330000,D,29,45862,0.000021805
Blake Lizotte,1100000,F,15,73333,0.000013636
Mathieu Joseph,1610000,F,35,46000,0.000021739
Sonny Milano,1460000,F,23,63478,0.000015753
Max Pacioretty,1840000,F,23,80000,0.000012500
Dominik Kubalik,1170000,F,15,78000,0.000012821
